ident,lat,lon
VUNOX,S 22:19:04.45,W 46:12:47.67
GR259,S 22:32:38.88,W 46:14:53.87
GR262,S 22:46:58.28,W 46:17:07.52
SANPA,S 23:12:30.33,W 46:32:59.11
GR283,S 23:15:51.89,W 46:35:22.10
LOMEN,S 23:25:36.86,W 46:42:17.85
