ident,lat,lon
ZARES,S 22:45:58.82,W 47:57:16.62
GR246,S 22:51:49.68,W 47:48:23.86
GR247,S 22:56:23.75,W 47:41:15.63
GR248,S 23:08:28.41,W 47:22:19.00
EVRAL,S 23:13:01.37,W 47:15:09.23
GR249,S 23:04:19.18,W 47:04:53.22
GR251,S 22:59:09.69,W 46:58:49.05
GR252,S 22:52:05.12,W 46:50:30.56
SANPA,S 23:12:30.33,W 46:32:59.11
GR283,S 23:15:51.89,W 46:35:22.10
LOMEN,S 23:25:36.86,W 46:42:17.85
