ident,lat,lon
EDMUS,S 23:11:21.22,W 45:23:09.12
NIBVO,S 23:13:36.84,W 45:33:21.33
POLYP,S 23:19:24.73,W 45:54:23.87
GR278,S 23:20:43.81,W 45:59:10.49
GR279,S 23:15:27.16,W 46:00:56.22
GR281,S 23:10:56.50,W 46:04:23.13
GR282,S 23:08:37.40,W 46:09:15.82
UTKUG,S 23:18:04.41,W 46:14:31.55
