ident,lat,lon
VUNOX,S 22:19:04.45,W 46:12:47.67
GR259,S 22:32:38.88,W 46:14:53.87
GR262,S 22:46:58.28,W 46:17:07.52
SANPA,S 23:12:30.33,W 46:32:59.11
GR253,S 23:16:07.52,W 46:26:36.36
GR254,S 23:16:14.03,W 46:18:23.46
UTKUG,S 23:18:04.41,W 46:14:31.55
