ident,lat,lon
BUXUK,S 23:45:50.07,W 47:48:57.13
GR256,S 23:37:19.39,W 47:43:59.03
GR257,S 23:31:54.66,W 47:37:32.82
GR258,S 23:22:21.21,W 47:26:11.80
EVRAL,S 23:13:01.37,W 47:15:09.23
GR249,S 23:04:19.18,W 47:04:53.22
GR251,S 22:59:09.69,W 46:58:49.05
GR252,S 22:52:05.12,W 46:50:30.56
SANPA,S 23:12:30.33,W 46:32:59.11
GR283,S 23:15:51.89,W 46:35:22.10
LOMEN,S 23:25:36.86,W 46:42:17.85
SBGR,S 23:25:57.15,W 46:28:31.62
