"id","fltid","adep","ades","CLASS","atot","c_time","lat","lon","bear","drwy","type","atot_epoch","sector","congestion","arrival_yield","transit","saturation","c","percentile_20","kpi08_p20","unimp_time","kpi08"
"2024-01-05 00:48:49TAM3239SBVCSBGR","TAM3239","SBVC","SBGR","M",1704415729000,1704413520780,-21.8748660474,-45.8641516127,21.3132727364,"28L","A20N",1704415729000,0,4,8,36.8036666667,8.603308,100,21.50827,15.2953966667,21.654675,15.1489916667
"2024-01-04 23:59:16TAM3557SBCFSBGR","TAM3557","SBCF","SBGR","M",1704412756000,1704410967119,-21.8732149837,-45.8624474397,21.3470032073,"28L","A20N",1704412756000,0,10,21,29.8146833333,8.603308,100,21.50827,8.3064133333,21.654675,8.1600083333
"2024-01-16 20:30:48TAM4750SBBRSBGR","TAM4750","SBBR","SBGR","M",1705437048000,1705435564561,-21.7891507428,-46.2149892627,8.9083620565,"28L","A20N",1705437048000,0,3,13,24.7239833333,8.603308,100,21.50827,3.2157133333,21.654675,3.0693083333
"2024-01-07 16:21:28AZU9581SBTCSBGR","AZU9581","SBTC","SBGR","M",1704644488000,1704643041038,-21.8827201249,-45.8371580589,22.2694595743,"28L","A20N",1704644488000,0,7,19,24.1160333333,8.603308,100,21.50827,2.6077633333,21.654675,2.4613583333
"2024-01-17 14:26:21AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1705501581000,1705500020001,-21.8827576879,-45.8705994656,21.2053076858,"28L","A20N",1705501581000,0,12,21,26.01665,8.603308,100,21.50827,4.50838,21.654675,4.361975
"2024-01-07 16:13:15AZU9107SBCFSBGR","AZU9107","SBCF","SBGR","M",1704643995000,1704642590998,-21.8770344557,-45.8505250591,21.7735802342,"28L","A20N",1704643995000,0,5,16,23.4000333333,8.603308,100,21.50827,1.8917633333,21.654675,1.7453583333
"2024-01-29 15:02:55AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1706540575000,1706539386138,-21.8723834759,-45.862006882,21.3506781854,"28L","A20N",1706540575000,0,5,16,19.8143666667,8.603308,100,21.50827,0,21.654675,0
"2024-01-17 17:11:40TAM3111SBIZSBGR","TAM3111","SBIZ","SBGR","M",1705511500000,1705510184674,-21.7791897235,-46.6134447164,355.1553412293,"28L","A20N",1705511500000,0,6,22,21.9221,8.603308,100,21.50827,0.41383,21.654675,0.267425
"2024-01-03 21:16:43TAM4750SBBRSBGR","TAM4750","SBBR","SBGR","M",1704316603000,1704315147079,-21.8185403595,-46.0350982643,15.1545856344,"28L","A20N",1704316603000,0,7,13,24.26535,8.603308,100,21.50827,2.75708,21.654675,2.610675
"2024-01-14 17:25:13AZU9581SBTCSBGR","AZU9581","SBTC","SBGR","M",1705253113000,1705251871803,-21.9148228132,-45.7387190162,25.7751237041,"28L","A20N",1705253113000,0,3,10,20.6866166667,8.603308,100,21.50827,0,21.654675,0
"2024-01-29 14:41:15TAM3264SBBRSBGR","TAM3264","SBBR","SBGR","M",1706539275000,1706537791431,-21.8775381412,-45.8631919482,21.3771476945,"28L","A20N",1706539275000,0,5,17,24.72615,8.603308,100,21.50827,3.21788,21.654675,3.071475
"2024-01-12 20:59:57TAM4619SBMOSBGR","TAM4619","SBMO","SBGR","M",1705093197000,1705091899366,-21.9084832067,-45.7575912806,25.1040403197,"28L","A20N",1705093197000,0,3,16,21.6272333333,8.603308,100,21.50827,0.1189633333,21.654675,0
"2024-01-14 19:18:14TAM3266SBBRSBGR","TAM3266","SBBR","SBGR","M",1705259894000,1705258156227,-21.7788089715,-46.3373277095,4.6834590781,"28L","A20N",1705259894000,0,15,27,28.9628833333,8.603308,100,21.50827,7.4546133333,21.654675,7.3082083333
"2024-01-15 14:34:19TAM3241SBPSSBGR","TAM3241","SBPS","SBGR","M",1705329259000,1705327478957,-22.0441009297,-45.4950393541,35.1023568752,"28L","A20N",1705329259000,0,13,18,29.6673833333,8.603308,100,21.50827,8.1591133333,21.654675,8.0127083333
"2024-01-18 14:32:23AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1705588343000,1705587106981,-21.8775654597,-45.867177459,21.2502838781,"28L","A20N",1705588343000,0,1,11,20.6003166667,8.603308,100,21.50827,0,21.654675,0
"2024-01-18 15:40:15AZU9112SBCFSBGR","AZU9112","SBCF","SBGR","M",1705592415000,1705591009285,-21.9266124666,-45.7265404974,26.3228505131,"28L","A20N",1705592415000,0,6,10,23.4285833333,8.603308,100,21.50827,1.9203133333,21.654675,1.7739083333
"2024-01-14 18:51:57TAM3471SBJESBGR","TAM3471","SBJE","SBGR","M",1705258317000,1705256804212,-21.7834223884,-46.2595095015,7.3649180346,"28L","A20N",1705258317000,0,10,20,25.2131333333,8.603308,100,21.50827,3.7048633333,21.654675,3.5584583333
"2024-01-15 14:52:44AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1705330364000,1705329118835,-21.8714546459,-45.8619215026,21.3418533067,"28L","A20N",1705330364000,0,7,20,20.75275,8.603308,100,21.50827,0,21.654675,0
"2024-01-12 14:27:17AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1705069637000,1705067789373,-21.7736047914,-46.3515314279,4.1821034743,"28L","A20N",1705069637000,0,12,20,30.7937833333,8.603308,100,21.50827,9.2855133333,21.654675,9.1391083333
"2024-01-12 12:46:11TAM3262SBBRSBGR","TAM3262","SBBR","SBGR","M",1705063571000,1705062383996,-21.7865759713,-46.2316348322,8.3292779984,"28L","A20N",1705063571000,0,1,6,19.7834,8.603308,100,21.50827,0,21.654675,0
"2024-01-19 14:35:32AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1705674932000,1705673257915,-21.8876972197,-45.8684444894,21.3361818549,"28L","A20N",1705674932000,0,11,19,27.9014166667,8.603308,100,21.50827,6.3931466667,21.654675,6.2467416667
"2024-01-19 16:27:19TAM3395SBPJSBGR","TAM3395","SBPJ","SBGR","M",1705681639000,1705679988034,-22.013799557,-45.5481111944,33.046609579,"28L","A20N",1705681639000,0,14,20,27.5161,8.603308,100,21.50827,6.00783,21.654675,5.861425
"2024-01-19 16:15:33TAM4613SBRFSBGR","TAM4613","SBRF","SBGR","M",1705680933000,1705679402317,-21.9402478282,-45.6933996262,27.5376110422,"28L","A20N",1705680933000,0,11,16,25.5113833333,8.603308,100,21.50827,4.0031133333,21.654675,3.8567083333
"2024-01-08 14:34:46AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1704724486000,1704722840611,-21.8706402122,-45.8607398516,21.3692737552,"28L","A20N",1704724486000,0,12,23,27.42315,8.603308,100,21.50827,5.91488,21.654675,5.768475
"2024-01-19 19:03:37TAM4749SBCFSBGR","TAM4749","SBCF","SBGR","M",1705691017000,1705689735450,-21.7807400502,-46.3379048743,4.6690494739,"28L","A20N",1705691017000,0,7,21,21.3591666667,8.603308,100,21.50827,0,21.654675,0
"2024-01-08 15:00:46TAM3553SBCFSBGR","TAM3553","SBCF","SBGR","M",1704726046000,1704724723891,-21.8731398577,-45.862607953,21.3409626517,"28L","A20N",1704726046000,0,4,22,22.03515,8.603308,100,21.50827,0.52688,21.654675,0.380475
"2024-01-19 20:47:07TAM3225SBARSBGR","TAM3225","SBAR","SBGR","M",1705697227000,1705695889788,-21.8374311234,-45.9736694875,17.3531161661,"28L","A20N",1705697227000,0,6,14,22.2868666667,8.603308,100,21.50827,0.7785966667,21.654675,0.6321916667
"2024-01-20 00:57:51TAM3245SBPSSBGR","TAM3245","SBPS","SBGR","M",1705712271000,1705710683105,-22.3066559126,-45.1518004714,49.4889391979,"28L","A20N",1705712271000,0,1,1,26.4649166667,8.603308,100,21.50827,4.9566466667,21.654675,4.8102416667
"2024-01-31 23:26:22TAM4750SBBRSBGR","TAM4750","SBBR","SBGR","M",1706743582000,1706742099738,-21.8419642921,-45.9697761865,17.5268769487,"28L","A20N",1706743582000,0,5,14,24.7043666667,8.603308,100,21.50827,3.1960966667,21.654675,3.0496916667
"2024-01-11 19:39:42TAM3266SBBRSBGR","TAM3266","SBBR","SBGR","M",1705001982000,1705000122935,-21.7943105302,-46.1428402474,11.3759207636,"28L","A20N",1705001982000,0,15,29,30.9844166667,8.603308,100,21.50827,9.4761466667,21.654675,9.3297416667
"2024-01-20 17:19:27TAM4623SBPSSBGR","TAM4623","SBPS","SBGR","M",1705771167000,1705769894595,-21.8724961648,-45.8631168143,21.3167781077,"28L","A20N",1705771167000,0,4,14,21.20675,8.603308,100,21.50827,0,21.654675,0
"2024-01-20 18:50:28TAM3619SBTESBGR","TAM3619","SBTE","SBGR","M",1705776628000,1705775375907,-21.8561460243,-45.9200443887,19.2970858225,"28L","A20N",1705776628000,0,5,16,20.8682166667,8.603308,100,21.50827,0,21.654675,0
"2024-01-20 19:40:52TAM3243SBPSSBGR","TAM3243","SBPS","SBGR","M",1705779652000,1705777635725,-21.9844526255,-45.5960636854,31.1471823806,"28L","A20N",1705779652000,0,16,26,33.6045833333,8.603308,100,21.50827,12.0963133333,21.654675,11.9499083333
"2024-01-20 22:20:40AZU2757SBCFSBGR","AZU2757","SBCF","SBGR","M",1705789240000,1705787022688,-21.8789706566,-45.8336062755,22.3329909303,"28L","A20N",1705789240000,0,6,9,36.9552,8.603308,100,21.50827,15.44693,21.654675,15.300525
"2024-01-11 14:31:50AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1704983510000,1704982090285,-21.8767117556,-45.8665456513,21.259855449,"28L","A20N",1704983510000,0,10,18,23.6619166667,8.603308,100,21.50827,2.1536466667,21.654675,2.0072416667
"2024-01-11 14:01:52AZU9112SBCFSBGR","AZU9112","SBCF","SBGR","M",1704981712000,1704980268770,-21.8703875158,-45.8600875529,21.3868409182,"28L","A20N",1704981712000,0,4,12,24.0538333333,8.603308,100,21.50827,2.5455633333,21.654675,2.3991583333
"2024-01-21 01:09:26TAM3245SBPSSBGR","TAM3245","SBPS","SBGR","M",1705799366000,1705797555556,-22.0902043649,-45.4172757889,38.1234564443,"28L","A20N",1705799366000,0,10,11,30.1740666667,8.603308,100,21.50827,8.6657966667,21.654675,8.5193916667
"2024-01-14 16:28:29AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1705249709000,1705248004648,-21.8755746218,-45.86419601,21.3206693851,"28L","A21N",1705249709000,0,10,19,28.4058666667,8.603308,100,21.50827,6.8975966667,21.654675,6.7511916667
"2024-01-29 18:38:38AZU2768SBRFSBGR","AZU2768","SBRF","SBGR","M",1706553518000,1706552091825,-21.8707955863,-45.8606237356,21.3748912843,"28L","A21N",1706553518000,0,8,16,23.7695833333,8.603308,100,21.50827,2.2613133333,21.654675,2.1149083333
"2024-01-29 16:16:05TAM4613SBRFSBGR","TAM4613","SBRF","SBGR","M",1706544965000,1706543500623,-21.9559269573,-45.6697802666,28.4970843324,"28L","A21N",1706544965000,0,6,14,24.4062833333,8.603308,100,21.50827,2.8980133333,21.654675,2.7516083333
"2024-01-29 16:43:06AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1706546586000,1706544873513,-21.8466579571,-45.9556612627,18.0368546789,"28L","A21N",1706546586000,0,11,19,28.54145,8.603308,100,21.50827,7.03318,21.654675,6.886775
"2024-01-25 01:03:38TAM4621SBARSBGR","TAM4621","SBAR","SBGR","M",1706144618000,1706142788650,-21.8629637051,-45.8840074479,20.5345185168,"28L","A21N",1706144618000,0,15,15,30.4891666667,8.603308,100,21.50827,8.9808966667,21.654675,8.8344916667
"2024-01-25 00:51:34TAM3467SBJPSBGR","TAM3467","SBJP","SBGR","M",1706143894000,1706142141654,-21.8267410409,-46.0361398931,15.1937128439,"28L","A21N",1706143894000,0,9,13,29.2057666667,8.603308,100,21.50827,7.6974966667,21.654675,7.5510916667
"2024-01-24 23:52:12AZU4878SBRFSBGR","AZU4878","SBRF","SBGR","M",1706140332000,1706138828300,-21.7875730976,-46.2123390859,8.9898822525,"28L","A21N",1706140332000,0,7,20,25.0616666667,8.603308,100,21.50827,3.5533966667,21.654675,3.4069916667
"2024-01-15 18:10:11AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1705342211000,1705340956246,-21.9394590056,-45.6860638274,27.7457183817,"28L","A21N",1705342211000,0,4,14,20.9125666667,8.603308,100,21.50827,0,21.654675,0
"2024-01-15 23:30:27AZU4878SBRFSBGR","AZU4878","SBRF","SBGR","M",1705361427000,1705360155732,-21.8721632203,-45.8615253421,21.3632484226,"28L","A21N",1705361427000,0,10,22,21.1878,8.603308,100,21.50827,0,21.654675,0
"2024-01-16 16:36:34AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1705422994000,1705421103989,-21.8004691515,-46.1129267179,12.421115929,"28L","A21N",1705422994000,0,15,24,31.5001833333,8.603308,100,21.50827,9.9919133333,21.654675,9.8455083333
"2024-01-16 23:40:36AZU4878SBRFSBGR","AZU4878","SBRF","SBGR","M",1705448436000,1705447237005,-21.8433046075,-45.9534721347,18.0725432516,"28L","A21N",1705448436000,0,4,20,19.98325,8.603308,100,21.50827,0,21.654675,0
"2024-01-07 16:14:45AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1704644085000,1704642779873,-21.882021795,-45.8388212498,22.207869465,"28L","A21N",1704644085000,0,5,17,21.7521166667,8.603308,100,21.50827,0.2438466667,21.654675,0.0974416667
"2024-01-17 16:29:31TAM3353SBSVSBGR","TAM3353","SBSV","SBGR","M",1705508971000,1705507307593,-21.8028817192,-46.1203034988,12.1918020343,"28L","A21N",1705508971000,0,10,15,27.72345,8.603308,100,21.50827,6.21518,21.654675,6.068775
"2024-01-17 16:37:12AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1705509432000,1705507837000,-21.8057416279,-46.0853799055,13.3800119285,"28L","A21N",1705509432000,0,12,18,26.5833333333,8.603308,100,21.50827,5.0750633333,21.654675,4.9286583333
"2024-01-03 22:12:04TAM3379SBRFSBGR","TAM3379","SBRF","SBGR","M",1704319924000,1704318411618,-21.8691479374,-45.8600363252,21.3730685847,"28L","A21N",1704319924000,0,3,11,25.2063666667,8.603308,100,21.50827,3.6980966667,21.654675,3.5516916667
"2024-01-17 20:19:59TAM3883SBFZSBGR","TAM3883","SBFZ","SBGR","M",1705522799000,1705521302720,-21.9874354676,-45.5903398498,31.3648032915,"28L","A21N",1705522799000,0,7,20,24.938,8.603308,100,21.50827,3.42973,21.654675,3.283325
"2024-01-18 18:50:15AZU2768SBRFSBGR","AZU2768","SBRF","SBGR","M",1705603815000,1705602606631,-21.8522889892,-45.921407044,19.2095772762,"28L","A21N",1705603815000,0,7,19,20.1394833333,8.603308,100,21.50827,0,21.654675,0
"2024-01-30 20:45:47TAM3363SBSVSBGR","TAM3363","SBSV","SBGR","M",1706647547000,1706646252878,-21.8705548418,-45.8591483794,21.4187255122,"28L","A21N",1706647547000,0,6,17,21.5687,8.603308,100,21.50827,0.06043,21.654675,0
"2024-01-18 18:14:38TAM3231SBBESBGR","TAM3231","SBBE","SBGR","M",1705601678000,1705600371313,-21.9608306336,-45.6425681416,29.3859207957,"28L","A21N",1705601678000,0,5,15,21.7781166667,8.603308,100,21.50827,0.2698466667,21.654675,0.1234416667
"2024-01-19 14:33:25TAM3241SBPSSBGR","TAM3241","SBPS","SBGR","M",1705674805000,1705673075612,-21.8736435431,-45.8622322836,21.3591789963,"28L","A21N",1705674805000,0,11,19,28.8231333333,8.603308,100,21.50827,7.3148633333,21.654675,7.1684583333
"2024-01-19 15:08:49TAM3553SBCFSBGR","TAM3553","SBCF","SBGR","M",1705676929000,1705675515530,-21.8899441689,-45.8228894522,22.8142034824,"28L","A21N",1705676929000,0,6,20,23.5578333333,8.603308,100,21.50827,2.0495633333,21.654675,1.9031583333
"2024-01-19 15:16:06TAM3551SBCFSBGR","TAM3551","SBCF","SBGR","M",1705677366000,1705676150893,-21.8852146483,-45.8723070538,21.1810732569,"28L","A21N",1705677366000,0,4,19,20.2517833333,8.603308,100,21.50827,0,21.654675,0
"2024-01-19 16:29:25AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1705681765000,1705680116373,-21.99966051,-45.5757160647,32.0026597593,"28L","A21N",1705681765000,0,13,20,27.4771166667,8.603308,100,21.50827,5.9688466667,21.654675,5.8224416667
"2024-01-19 18:39:02TAM3463SBJPSBGR","TAM3463","SBJP","SBGR","M",1705689542000,1705688049629,-21.9161375175,-47.1989801148,334.4631679977,"28L","A21N",1705689542000,0,8,18,24.87285,8.603308,100,21.50827,3.36458,21.654675,3.218175
"2024-01-19 18:53:33AZU2768SBRFSBGR","AZU2768","SBRF","SBGR","M",1705690413000,1705689097607,-21.7824184324,-46.305788556,5.7776137467,"28L","A21N",1705690413000,0,8,19,21.9232166667,8.603308,100,21.50827,0.4149466667,21.654675,0.2685416667
"2024-01-08 16:13:19TAM3223SBARSBGR","TAM3223","SBAR","SBGR","M",1704730399000,1704729139036,-21.8804185387,-45.8452212903,21.9847361606,"28L","A21N",1704730399000,0,7,12,20.9994,8.603308,100,21.50827,0,21.654675,0
"2024-01-08 16:45:31AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1704732331000,1704731065860,-21.8983668133,-45.7709377897,24.5487603507,"28L","A21N",1704732331000,0,5,18,21.0856666667,8.603308,100,21.50827,0,21.654675,0
"2024-01-04 09:33:06AZU4153SBRFSBGR","AZU4153","SBRF","SBGR","M",1704360786000,1704359149543,-21.8984897467,-45.7813609079,24.2282114174,"28L","A21N",1704360786000,0,11,27,27.2742833333,8.603308,100,21.50827,5.7660133333,21.654675,5.6196083333
"2024-01-20 09:40:16AZU4153SBRFSBGR","AZU4153","SBRF","SBGR","M",1705743616000,1705742004370,-21.8729042354,-45.8646297374,21.2736906933,"28L","A21N",1705743616000,0,11,22,26.8605,8.603308,100,21.50827,5.35223,21.654675,5.205825
"2024-01-20 18:16:11TAM3231SBBESBGR","TAM3231","SBBE","SBGR","M",1705774571000,1705773264162,-21.7758414961,-46.3206479883,5.2466203286,"28L","A21N",1705774571000,0,7,13,21.7806333333,8.603308,100,21.50827,0.2723633333,21.654675,0.1259583333
"2024-01-20 19:08:39TAM3377SBRFSBGR","TAM3377","SBRF","SBGR","M",1705777719000,1705776193621,-21.9135678682,-45.7393132569,25.7384727024,"28L","A21N",1705777719000,0,10,18,25.4229833333,8.603308,100,21.50827,3.9147133333,21.654675,3.7683083333
"2024-01-20 18:48:04AZU2768SBRFSBGR","AZU2768","SBRF","SBGR","M",1705776484000,1705775191753,-21.8896453724,-45.8054788832,23.356331757,"28L","A21N",1705776484000,0,5,15,21.53745,8.603308,100,21.50827,0.02918,21.654675,0
"2024-01-20 23:40:19AZU4878SBRFSBGR","AZU4878","SBRF","SBGR","M",1705794019000,1705792089950,-21.8466835682,-45.9541688306,18.0857715252,"28L","A21N",1705794019000,0,12,20,32.1508333333,8.603308,100,21.50827,10.6425633333,21.654675,10.4961583333
"2024-01-04 10:31:52TAM3375SBRFSBGR","TAM3375","SBRF","SBGR","M",1704364312000,1704362785794,-21.8992734471,-45.7846394772,24.1374018459,"28L","A21N",1704364312000,0,10,27,25.4367666667,8.603308,100,21.50827,3.9284966667,21.654675,3.7820916667
"2024-01-21 08:57:24AZU4153SBRFSBGR","AZU4153","SBRF","SBGR","M",1705827444000,1705826085290,-21.963388331,-45.6414547941,29.4613230317,"28L","A21N",1705827444000,0,8,18,22.6451666667,8.603308,100,21.50827,1.1368966667,21.654675,0.9904916667
"2024-01-21 10:39:44TAM3383SBRFSBGR","TAM3383","SBRF","SBGR","M",1705833584000,1705831420774,-21.8745228583,-45.8622527747,21.3694732637,"28L","A21N",1705833584000,0,16,26,36.0537666667,8.603308,100,21.50827,14.5454966667,21.654675,14.3990916667
"2024-01-21 16:17:23AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1705853843000,1705852450058,-21.8935058223,-45.7821600592,24.1341501819,"28L","A21N",1705853843000,0,9,14,23.2157,8.603308,100,21.50827,1.70743,21.654675,1.561025
"2024-01-04 15:44:33TAM3353SBSVSBGR","TAM3353","SBSV","SBGR","M",1704383073000,1704381676752,-21.8751460623,-45.8653059423,21.2799609256,"28L","A21N",1704383073000,0,2,2,23.2708,8.603308,100,21.50827,1.76253,21.654675,1.616125
"2024-01-21 17:56:29TAM3463SBJPSBGR","TAM3463","SBJP","SBGR","M",1705859789000,1705858416772,-21.8937482743,-45.7753638583,24.3474892122,"28L","A21N",1705859789000,0,6,11,22.8704666667,8.603308,100,21.50827,1.3621966667,21.654675,1.2157916667
"2024-01-30 18:47:54AZU2768SBRFSBGR","AZU2768","SBRF","SBGR","M",1706640474000,1706639213639,-21.8753389994,-45.8645170366,21.3075069027,"28L","A21N",1706640474000,0,7,20,21.0060166667,8.603308,100,21.50827,0,21.654675,0
"2024-01-21 22:47:04TAM3379SBRFSBGR","TAM3379","SBRF","SBGR","M",1705877224000,1705875785782,-21.8733908467,-45.8654186431,21.2545966375,"28L","A21N",1705877224000,0,6,14,23.9703,8.603308,100,21.50827,2.46203,21.654675,2.315625
"2024-01-04 16:19:34AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1704385174000,1704383764011,-21.8754721773,-45.8680517441,21.1964037856,"28L","A21N",1704385174000,0,6,12,23.4998166667,8.603308,100,21.50827,1.9915466667,21.654675,1.8451416667
"2024-01-30 16:37:41AZU2748SBRFSBGR","AZU2748","SBRF","SBGR","M",1706632661000,1706630913967,-21.803332475,-46.1171273848,12.3015411033,"28L","A21N",1706632661000,0,13,20,29.1172166667,8.603308,100,21.50827,7.6089466667,21.654675,7.4625416667
"2024-01-04 16:53:58TAM3223SBARSBGR","TAM3223","SBAR","SBGR","M",1704387238000,1704385696942,-21.8728598428,-45.851781844,21.6810556277,"28L","A21N",1704387238000,0,8,18,25.6843,8.603308,100,21.50827,4.17603,21.654675,4.029625
"2024-01-09 14:35:57TAM3264SBBRSBGR","TAM3264","SBBR","SBGR","M",1704810957000,1704809401244,-21.7803268574,-46.5633030974,356.8791694301,"28L","A21N",1704810957000,0,9,19,25.9292666667,8.603308,100,21.50827,4.4209966667,21.654675,4.2745916667
"2024-01-04 18:37:09AZU2768SBRFSBGR","AZU2768","SBRF","SBGR","M",1704393429000,1704392141783,-21.8738859951,-45.8659275044,21.2445174978,"28L","A21N",1704393429000,0,7,17,21.4536166667,8.603308,100,21.50827,0,21.654675,0
