"id","fltid","adep","ades","CLASS","atot","c_time","lat","lon","bear","drwy","type","atot_epoch","sector","congestion","arrival_yield","transit","saturation","c","percentile_20","kpi08_p20","unimp_time","kpi08"
"2024-01-21 04:44:32AZU4329SBRFSBGR","AZU4329","SBRF","SBGR","M",1705812272000,1705810673824,-21.7973787427,-46.1249344779,11.997184036,"28L","A20N",1705812272000,0,5,10,26.6362666667,8.603308,100,21.50827,5.1279966667,21.654675,4.9815916667
"2024-01-04 14:11:08AZU9112SBCFSBGR","AZU9112","SBCF","SBGR","M",1704377468000,1704375864237,-21.8765563815,-45.8646502285,21.3184037098,"28L","A20N",1704377468000,0,4,7,26.7293833333,8.603308,100,21.50827,5.2211133333,21.654675,5.0747083333
"2024-01-21 09:44:43TAM4752SBBRSBGR","TAM4752","SBBR","SBGR","M",1705830283000,1705828130796,-21.7897517504,-46.2118131487,9.0194484594,"28L","A20N",1705830283000,0,16,25,35.8700666667,8.603308,100,21.50827,14.3617966667,21.654675,14.2153916667
"2024-01-21 09:02:19TAM4555SBPSSBGR","TAM4555","SBPS","SBGR","M",1705827739000,1705826386707,-21.8468611387,-45.953014501,18.1252709419,"28L","A20N",1705827739000,0,8,20,22.5382166667,8.603308,100,21.50827,1.0299466667,21.654675,0.8835416667
"2024-01-21 10:09:23AZU9112SBCFSBGR","AZU9112","SBCF","SBGR","M",1705831763000,1705829471244,-21.7856317745,-46.2478842412,7.7713609084,"28L","A20N",1705831763000,0,16,27,38.1959333333,8.603308,100,21.50827,16.6876633333,21.654675,16.5412583333
"2024-01-21 14:18:47TAM3264SBBRSBGR","TAM3264","SBBR","SBGR","M",1705846727000,1705845089187,-21.8059926169,-46.0848061559,13.4010896806,"28L","A20N",1705846727000,0,8,17,27.2968833333,8.603308,100,21.50827,5.7886133333,21.654675,5.6422083333
"2024-01-21 14:26:03AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1705847163000,1705845738419,-21.8747004288,-45.8648073266,21.2903205029,"28L","A20N",1705847163000,0,10,19,23.7430166667,8.603308,100,21.50827,2.2347466667,21.654675,2.0883416667
"2024-01-21 17:15:16AZU9581SBTCSBGR","AZU9581","SBTC","SBGR","M",1705857316000,1705856009665,-21.8498593474,-45.9321580191,18.8350449397,"28L","A20N",1705857316000,0,4,14,21.77225,8.603308,100,21.50827,0.26398,21.654675,0.117575
"2024-01-21 20:55:27TAM4619SBMOSBGR","TAM4619","SBMO","SBGR","M",1705870527000,1705868648638,-21.8539212714,-45.9130432772,19.4976246078,"28L","A20N",1705870527000,0,7,17,31.3060333333,8.603308,100,21.50827,9.7977633333,21.654675,9.6513583333
"2024-01-04 16:15:30TAM4627SBILSBGR","TAM4627","SBIL","SBGR","M",1704384930000,1704383620596,-21.8749736141,-45.8660777722,21.2532101225,"28L","A20N",1704384930000,0,5,10,21.8234,8.603308,100,21.50827,0.31513,21.654675,0.168725
"2024-01-04 17:51:59TAM4623SBPSSBGR","TAM4623","SBPS","SBGR","M",1704390719000,1704389427779,-21.8889948499,-45.7965584426,23.6255468772,"28L","A20N",1704390719000,0,4,10,21.52035,8.603308,100,21.50827,0.01208,21.654675,0
"2024-01-09 14:56:21AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1704812181000,1704810872422,-21.8686869372,-45.8805307984,20.7145400931,"28L","A20N",1704812181000,0,7,22,21.8096333333,8.603308,100,21.50827,0.3013633333,21.654675,0.1549583333
"2024-01-09 16:12:33TAM3395SBPJSBGR","TAM3395","SBPJ","SBGR","M",1704816753000,1704815502348,-21.8401032172,-45.9783312032,17.2278306544,"28L","A20N",1704816753000,0,5,15,20.8442,8.603308,100,21.50827,0,21.654675,0
"2024-01-30 14:33:28TAM3241SBPSSBGR","TAM3241","SBPS","SBGR","M",1706625208000,1706623316782,-21.8738637988,-45.8629460555,21.3392039517,"28L","A20N",1706625208000,0,16,24,31.5203,8.603308,100,21.50827,10.01203,21.654675,9.865625
"2024-01-30 14:26:57AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1706624817000,1706623100419,-21.8726942242,-45.8613887351,21.374195343,"28L","A20N",1706624817000,0,14,21,28.6096833333,8.603308,100,21.50827,7.1014133333,21.654675,6.9550083333
"2024-01-10 17:07:41TAM3111SBIZSBGR","TAM3111","SBIZ","SBGR","M",1704906461000,1704905048663,-21.8054308796,-46.0837064691,13.4332096738,"28L","A20N",1704906461000,0,5,21,23.53895,8.603308,100,21.50827,2.03068,21.654675,1.884275
"2024-01-16 14:28:27AZU4674SBRFSBGR","AZU4674","SBRF","SBGR","M",1705415307000,1705413567321,-21.8708809567,-45.8628436002,21.3054296878,"28L","A20N",1705415307000,0,13,21,28.99465,8.603308,100,21.50827,7.48638,21.654675,7.339975
"2024-01-09 22:46:49TAM3619SBTESBGR","TAM3619","SBTE","SBGR","M",1704840409000,1704838431451,-21.8456710752,-45.9449307786,18.3753563523,"28L","A20N",1704840409000,0,8,17,32.95915,8.603308,100,21.50827,11.45088,21.654675,11.304475
"2024-01-16 16:25:39TAM4627SBILSBGR","TAM4627","SBIL","SBGR","M",1705422339000,1705420381766,-21.8723885981,-45.8624303638,21.3372759395,"28L","A20N",1705422339000,0,14,24,32.6205666667,8.603308,100,21.50827,11.1122966667,21.654675,10.9658916667
